fvalue	x	y	z
-0.183356674319	3.1125	-0.00625	-0.00625
-0.0859280959323	3.125	-0.00625	-0.00625
-0.0433771640099	3.1375	-0.00625	-0.00625
-0.0232796775218	3.15	-0.00625	-0.00625
-0.0131504309048	3.1625	-0.00625	-0.00625
-0.00775847124193	3.175	-0.00625	-0.00625
-0.00475135555386	3.1875	-0.00625	-0.00625
-0.0030055285554	3.2	-0.00625	-0.00625
-0.00195587003068	3.2125	-0.00625	-0.00625
-0.00130507135765	3.225	-0.00625	-0.00625
-0.000890433371363	3.2375	-0.00625	-0.00625
-0.000619766839094	3.25	-0.00625	-0.00625
-0.000439190503935	3.2625	-0.00625	-0.00625
-0.00031632687012	3.275	-0.00625	-0.00625
-0.000231227362709	3.2875	-0.00625	-0.00625
-0.000171319342002	3.3	-0.00625	-0.00625
-0.000128514408004	3.3125	-0.00625	-0.00625
-9.75094598251e-05	3.325	-0.00625	-0.00625
-7.4767470674e-05	3.3375	-0.00625	-0.00625
-5.78912500752e-05	3.35	-0.00625	-0.00625
-4.52320444803e-05	3.3625	-0.00625	-0.00625
-3.56404273797e-05	3.375	-0.00625	-0.00625
-2.8304816387e-05	3.3875	-0.00625	-0.00625
-2.26452892586e-05	3.4	-0.00625	-0.00625
-1.82430982913e-05	3.4125	-0.00625	-0.00625
-1.47924344181e-05	3.425	-0.00625	-0.00625
-1.20680743028e-05	3.4375	-0.00625	-0.00625
-9.90237178182e-06	3.45	-0.00625	-0.00625
-8.16975216367e-06	3.4625	-0.00625	-0.00625
-6.77513914601e-06	3.475	-0.00625	-0.00625
-5.64608768627e-06	3.4875	-0.00625	-0.00625
-4.72708876487e-06	3.5	-0.00625	-0.00625
-3.97514649345e-06	3.5125	-0.00625	-0.00625
-3.35684487614e-06	3.525	-0.00625	-0.00625
-2.84609787589e-06	3.5375	-0.00625	-0.00625
-2.42223639664e-06	3.55	-0.00625	-0.00625
-2.06903578714e-06	3.5625	-0.00625	-0.00625
